"camera_id","elevation","dist_to_edge","human_pop_density_1km","dist_to_river","forest_integrity","human_footprint","forest_cover_1km","forest_cover_2km","degraded_forest_1km","degraded_forest_2km","oil_palm_1km","oil_palm_2km","forest_loss_1km","forest_loss_2km","survey_id"
"01_sorted",136,1026.17163,0,2.586365032,8.91407,10,98,93.532338313,2,6.467661692,0,0,0.098765432,0.049385765,"KhaoChong2018"
"02_sorted",267,513.7002,337.50198,560.8589915,7.3765,14,74,63,26,37,0,0,1.487357462,3.959905952,"KhaoChong2018"
"03_sorted",570,2708.02051,0,89.42424272,9.2342,7,100,100,0,0,0,0,0.073982737,0.061758893,"KhaoChong2018"
"04_sorted",428,1070.53003,0,187.5223704,8.33995,12,100,88.46153846,0,11.53846154,0,0,0.173353145,0.878712871,"KhaoChong2018"
"05_sorted",543,1605.18457,0,420.5100519,8.69985,7,100.000000004,94.117647055,0,5.882352941,0,0,0.29607698,1.22831924,"KhaoChong2018"
"06_sorted",282,263.14548,0,426.3428427,7.42806,16,67.30769231,66.34615385,32.69230769,33.653846152,0,0,2.378592666,2.771934167,"KhaoChong2018"
"07_sorted",537,370.83441,0,249.1852497,6.5488,12,60.78431373,47.761194035,39.21568627,52.238805971,0,0,0.96678235,9.940652819,"KhaoChong2018"
"08_sorted",344,1515.37549,0,348.82083,8.8098,10,100,93.5,0,6.5,0,0,0.074110672,0.185070944,"KhaoChong2018"
"09_sorted",651,3247.78394,0,193.6147561,9.38341,7,100,100,0,0,0,0,0,0.080237008,"KhaoChong2018"
"10_sorted",773,2479.08838,0,319.9194394,9.14035,7,100,100,0,0,0,0,0.074183976,0.240755602,"KhaoChong2018"
"100_sorted",591,572.73969,0,521.7672847,7.72449,9,88.461538459,68.811881189,11.53846154,31.188118815,0,0,0.788760168,5.646258503,"KhaoChong2018"
"101_2013",127,796.3559,0,190.877631,4.19293,4,97.82608696,74.09326425,2.173913043,25.90673576,0,12.95336788,0.024570025,17.52843529,"Pasoh_TEAM_2013"
"101_2014",127,796.3559,0,190.877631,4.19293,4,97.82608696,74.09326425,2.173913043,25.90673576,0,12.95336788,0.024570025,17.52843529,"Pasoh_TEAM_2014"
"101_2015",127,796.3559,0,190.877631,4.19293,4,97.82608696,74.09326425,2.173913043,25.90673576,0,12.95336788,0.024570025,17.52843529,"Pasoh_TEAM_2015"
"102_2013",128,1038.25769,0,353.1224648,3.67208,5,100,84.375,0,15.625,0,12.5,0.319175055,13.18458418,"Pasoh_TEAM_2013"
"102_2014",128,1038.25769,0,353.1224648,3.67208,5,100,84.375,0,15.625,0,12.5,0.319175055,13.18458418,"Pasoh_TEAM_2014"
"102_2015",128,1038.25769,0,353.1224648,3.67208,5,100,84.375,0,15.625,0,12.5,0.319175055,13.18458418,"Pasoh_TEAM_2015"
"103_2013",125,252.87668,0,214.60992,2.1675,5,85.41666667,85.10638298,14.58333333,14.893617021,0,8.510638298,0.098449422,8.192993239,"Pasoh_TEAM_2013"
"103_2014",125,252.87668,0,214.60992,2.1675,5,85.41666667,85.10638298,14.58333333,14.893617021,0,8.510638298,0.098449422,8.192993239,"Pasoh_TEAM_2014"
"103_2015",125,252.87668,0,214.60992,2.1675,5,85.41666667,85.10638298,14.58333333,14.893617021,0,8.510638298,0.098449422,8.192993239,"Pasoh_TEAM_2015"
"103_2017",125,252.87668,0,214.60992,2.1675,5,85.41666667,85.10638298,14.58333333,14.893617021,0,8.510638298,0.098449422,8.192993239,"Pasoh_TEAM_2017"
"104_2013",105,886.0509,0,181.1837399,1.34148,4,100,64.36170213,0,35.63829787,0,20.74468085,0,21.05489642,"Pasoh_TEAM_2013"
"104_2014",105,886.0509,0,181.1837399,1.34148,4,100,64.36170213,0,35.63829787,0,20.74468085,0,21.05489642,"Pasoh_TEAM_2014"
"104_2015",105,886.0509,0,181.1837399,1.34148,4,100,64.36170213,0,35.63829787,0,20.74468085,0,21.05489642,"Pasoh_TEAM_2015"
"105_2013",480,757.00256,0,582.58683,5.90041,6,98,88.29787234,2,11.70212766,0,0,0.417895772,3.695050722,"Pasoh_TEAM_2013"
"105_2014",480,757.00256,0,582.58683,5.90041,6,98,88.29787234,2,11.70212766,0,0,0.417895772,3.695050722,"Pasoh_TEAM_2014"
"105_2015",480,757.00256,0,582.58683,5.90041,6,98,88.29787234,2,11.70212766,0,0,0.417895772,3.695050722,"Pasoh_TEAM_2015"
"105_2017",480,757.00256,0,582.58683,5.90041,6,98,88.29787234,2,11.70212766,0,0,0.417895772,3.695050722,"Pasoh_TEAM_2017"
"106_2013",444,746.46399,0,724.1801404,5.71301,5,97.82608696,80.72916667,2.173913043,19.270833337,0,2.604166667,2.703366921,6.932153392,"Pasoh_TEAM_2013"
"106_2014",444,746.46399,0,724.1801404,5.71301,5,97.82608696,80.72916667,2.173913043,19.270833337,0,2.604166667,2.703366921,6.932153392,"Pasoh_TEAM_2014"
"106_2015",444,746.46399,0,724.1801404,5.71301,5,97.82608696,80.72916667,2.173913043,19.270833337,0,2.604166667,2.703366921,6.932153392,"Pasoh_TEAM_2015"
