genus_species,Type,Family,Genus,species,IUCN,Guild,Notes,Body_mass
Accipiter_fasciatus,Bird,NA,NA,NA,NA,NA,NA,NA
Accipiter_gentilis,Bird,NA,NA,NA,NA,NA,NA,NA
Accipitridae_spp,Bird,Accipitridae,NA,NA,NA,carnivore,NA,NA
Acerodon_mackloti,Bird,Pteropodidae,Acerodon,mackloti,VU,NA,bat,464
Acridotheres_javanicus,Bird,NA,NA,NA,NA,NA,NA,NA
Acridotheres_tristis,Bird,NA,NA,NA,NA,NA,NA,NA
Aegotheles_cristatus,Bird,NA,NA,NA,NA,NA,NA,NA
Aepypodius_arfakianus,Bird,Megapodiidae,Aepypodius,arfakianus,NA,NA,NA,NA
Ailuroedus_melanotis,Bird,Ptilonorhynchidae,Ailuroedus,melanotis,NA,NA,NA,NA
Alcedinidae_spp,Bird,NA,NA,NA,NA,NA,NA,NA
Alophoixus_phaeocephalus,Bird,NA,NA,NA,NA,NA,NA,NA
Alouatta_caraya,Bird,Atelidae,Alouatta,caraya,LC,folivore_frugivore,NA,5590
Alouatta_guariba,Mammal,Atelidae,Alouatta,guariba,LC,folivore_frugivore,NA,6933.333333
Amaurornis_phoenicurus,Bird,NA,NA,NA,NA,NA,NA,NA
Anorrhinus_galeritus,Bird,NA,NA,NA,NA,NA,NA,NA
Anthreptes_malacensis,Bird,NA,NA,NA,NA,NA,NA,NA
Anthus_novaeseelandiae,Bird,NA,NA,NA,NA,NA,NA,NA
Aonyx_cinereus,Mammal,Mustelidae,Aonyx,cinereus,VU,picivore_carnivore,NA,3530
Aramides_saracura,Bird,NA,Aramides,saracura,NA,NA,NA,NA
Aramides_sp.,Bird,NA,Aramides,NA,NA,NA,NA,NA
Arborophila_charltonii,Bird,NA,NA,NA,NA,NA,NA,NA
Arborophila_chloropus,Bird,NA,NA,NA,NA,NA,NA,NA
Arborophila_hyperythra,Bird,NA,NA,NA,NA,NA,NA,NA
Arborophila_rubrirostris,Bird,NA,NA,NA,NA,NA,NA,NA
Arborophila_sp.,Bird,NA,NA,NA,NA,NA,NA,NA
Arctictis_binturong,Mammal,Viverridae,Arctictis,binturong,VU,omnivore,NA,13000
Arctogalidia_trivirgata,Mammal,Viverridae,Arctogalidia,trivirgata,LC,omnivore,NA,2320
Arctonyx_collaris,Mammal,Mustelidae,Arctonyx,collaris,VU,omnivore,NA,8170
Arctonyx_hoevenii,Mammal,Mustelidae,Arctonyx,hoevenii,LC,omnivore,NA,8170
Ardeotis_australis,Bird,NA,NA,NA,NA,NA,NA,NA
Argus_sp.,Bird,Phasianidae,NA,NA,NA,NA,If it refers to the pheasant than Argus is not a genus,NA
Argusianus_argus,Bird,Phasianidae,Argusianus,argus,VU,omnivore,NA,NA
Arremon_flavirostris,Bird,NA,Arremon,flavirostris,NA,NA,NA,NA
Artamus_cinereus,Bird,NA,NA,NA,NA,NA,NA,NA
Asarcornis_scutulata,Bird,NA,NA,NA,NA,NA,NA,NA
Atherurus_macrourus,Mammal,Hystricidae,Atherurus,macrourus,LC,herbivore?,Confirm the diet,2000
Attila_phoenicurus,Bird,NA,Attila,phoenicurus,NA,NA,NA,NA
ATV,Vehicle,NA,NA,NA,NA,NA,NA,NA
Automolus_leucophthlamus,Bird,NA,Automolus,leucophthlamus,NA,NA,NA,NA
Axis_axis,Mammal,Cervidae,Axis,axis,LC,herbivore,NA,69500
Baryphthengus_ruficapillus,Bird,Momotidae,Baryphthengus,ruficapillus,LC,omnivore,NA,NA
Basileuterus_culicivorus,Bird,NA,Basileuterus,culicivorus,NA,NA,NA,NA
Bassariscus_astutus,Mammal,Procyonidae,Bassariscus,astutus,LC,omnivore,NA,1020
bat,Mammal,NA,NA,NA,NA,NA,NA,NA
bat_bird?,Vertebrate,NA,NA,NA,NA,NA,NA,NA
Bettongia_gaimardi,Mammal,Potoroidae,Bettongia,gaimardi,NT,herbivore?,it also consume insects to some amount,1660
Bicycle,Vehicle,NA,NA,NA,NA,NA,NA,NA
Biker,Vehicle,NA,NA,NA,NA,NA,NA,NA
bird,Bird,NA,NA,NA,NA,NA,NA,NA
boar_and_coyote,Mammal,NA,NA,NA,NA,NA,NA,NA
Bos_gaurus,Mammal,Bovidae,Bos,gaurus,VU,herbivore,NA,665200
Bos_javanicus,Mammal,Bovidae,Bos,javanicus,CR,herbivore,NA,627000
Domestic_Bos_taurus,Domestic_mammal,Bovidae,Bos,taurus,NA,herbivore,NA,613000
Boselaphus_tragocamelus,Mammal,Bovidae,Boselaphus,tragocamelus,LC,herbivore,NA,181000
Bovidae_spp,Mammal,Bovidae,NA,NA,NA,herbivore,NA,118152
