"old","new"
"great_argus","Argusianus_argus"
"Argus pheasant","Argusianus_argus"
"argus","Argusianus_argus"
"great_argus_","Argusianus_argus"
"Bat","bat"
"Bird","bird"
"bird_sp","bird"
"unknown_bird_sp","bird"
"Canis_familiaris","Domestic_Canis_lupus_familiaris"
"Felis_silvestris_catus","Felis_catus"
"Livestock_(Bos_bubalis_or_Capra_sp)","Domestic_Bubalus_bubalis"
"Gracilianus_agilis","Gracilinanus_agilis"
"Pardofelis_temminckii","Catopuma_temminckii"
"Rat","Rodent"
"Rodent_sp?","Rodent"
"Tubinambis_sp.","Tupinambis_sp."
"herpestes_spp","Herpestes_sp."
"Capricornis_milneedwardsi","Capricornis_milneedwardsii"
"Leopaldamys_sabanus","Leopoldamys_sabanus"
"Muntiacus_spp","Muntiacus_muntjak"
"Muntiacus_muntjac","Muntiacus_muntjak"
"Pardofelis_teminckii","Catopuma_temminckii"
"Other_Bird_species","bird"
"Raptor_Species","bird"
"raptor","bird"
"Unknown_Agouti","Dasyprocta_sp."
"Unknown_Bird","bird"
"Unknown_Mouse_or_Rat","Rodent"
"mouse_or_rat","Rodent"
"Unknown_Opossum","Marsupial"
"Unknown_Small_Rodent","Rodent"
"Cebus_apella","Sapajus_apella"
"Pardofelis_nebulosa","Neofelis_nebulosa"
"Tupaia_spp","Tupaia_sp."
"Asarcorni_scutulata","Asarcornis_scutulata"
"Bat_bird_other","bat_bird?"
"Equus_asinus","Domestic_Equus_africanus_asinus"
"Hystrix_spp","Hystrix_brachyura"
"Presbytis_cristata","Trachypithecus_cristatus"
"Reptile_species","Reptile"
"Rodent_ssp","Reptile"
"Snake_ssp","Snake"
"Unknown_Armadillo","Dasypus_sp."
"Unknown_Bear","Ursidae_spp"
"Unknown_Bovid","Bovidae_spp"
"Unknown_Canid","Canidae_spp"
"Unknown_Cervid","Cervidae_spp"
"sambar_or_muntjac","Cervidae_spp"
"Unknown_Chevrotain","Tragulus_sp."
"Unknown_Civet_Genet_Linsang","Viverridae_or_Prionodontidae"
"Hystricidae_or_Erethizontidae?","Hystricidae_or_Erethizontidae"
"Unknown_Felid","Felidae_spp"
"Unknown_Honeyeater","Meliphagidae_spp"
"Unknown_Kangaroo_Wallaby","Macropodidae_spp"
"Unknown_Porcupine","Hystricidae_spp"
"porcupine_sp","Hystricidae_spp"
"Unknown_Primate","Primates"
"Unknown_Small_Mammal","Small_mammal"
"Unknown_Spiny_Rat","Echimyidae_spp"
"Unknown_Squirrel","Sciuridae_spp"
"squirrel_sp","Sciuridae_spp"
"Arctictis_binturo","Arctictis_binturong"
"Argus","Argus_sp."
"Argus_pheasant","Argus_sp."
"Atherurus_macrour","Atherurus_macrourus"
"Bos_taraus","Bos_taurus"
"Banded_Civet","Hemigalus_derbyanus"
"Banded_civet","Hemigalus_derbyanus"
"Banded_linsang","Prionodon_linsang"
"Banded_Linsang","Prionodon_linsang"
"Babbler_black_capped","Pellorneum_capistratum"
"Babbler_short_tailed","Pellorneum_malaccense"
"Short_tailed_babbler","Pellorneum_malaccense"
"Babbler_sooty_capped","Malacopteron_affine"
"Babbler_striped_wren","Kenopia_striata"
"Striped_wren_babbler","Kenopia_striata"
"Babbler","Pellorneidae_spp"
"Bat_(unknown)","bat"
"Bear_unknown","Ursidae_spp"
"Bearded_pig","Sus_barbatus"
"Bearded_Pig","Sus_barbatus"
"bearded_pig_","Sus_barbatus"
"Binturong","Arctictis_binturong"
"Bird_(unknown)","bird"
"Bird_small_other","bird"
"Bird_small_others","bird"
"Bird_terrestrial","bird"
"Bird_unkown","bird"
"Unknown_bid","bird"
"Terrestrial_bird","bird"
"Terrestrial_Bird","bird"
"Song_bird","bird"
"Bird_Hawk_Eagle","Accipitridae_spp"
"Hawk","Accipitridae_spp"
"Bird_pheasant","Phasianidae_spp"
"Bird_pheasent","Phasianidae_spp"
"Bird_phesant","Phasianidae_spp"
"Black_bear","Ursus_thibetanus"
"Black","remove"
"Black_headed_pitta","Erythropitta_ussheri"
"Bornean_ground_cuckoo","Carpococcyx_radiceus"
